geneid	control_RPF_2	control_RNA_2
Myo81F	1	0
Pzl	1	4
spok	0	0
Parp	816	7296
Alg-2	345	2991
Tim17b	580	7265
CG41128	182	1886
CG41099	486	17989
CG42402	1	2
Gfat1	30	16
CG40198	0	1
CG12581	53	578
Dsk	0	2
beta-Man	307	4654
CG14636	1	5
aux	172	6471
CG31516	0	1
DhpD	211	2414
CG14641	389	5027
abs	83	1381
Gel	171	955
CG14642	3	1
CG34305	13	1
TwdlF	0	1
TwdlG	0	3
CG14644	0	2
TwdlV	1	0
Or82a	0	1
CG1092	2	1
flip	0	0
cpx	1	16
Nepl11	1	9
Vps24	120	132
MP1	32	0
Suv3	80	958
Syt14	1	11
CG9795	58	3841
CG9776	351	5692
Skp2	328	5949
CG14645	0	0
CG1103	127	4072
hkb	0	0
CG1090	0	6
Sfxn1-3	71	2475
Cont	454	7839
tub	19	5012
CG14646	56	919
CG34112	4	8
CG9855	97	530
CG9853	144	3181
CG14647	56	1202
lost	3696	69054
CG32944	2	20
CG31528	0	1
srl	321	32112
CG31525	0	35
eIF3a	3117	22318
CG1074	109	371
CG9804	32	43
CG14650	70	6445
CG31522	54	1301
CG31523	69	8371
CG14651	0	4
Fip1	321	4346
CG34357	0	4
CG34425	0	0
Mur82C	0	2
CG32945	0	0
5-HT2A	1	7
CG9775	448	6998
slx1	9	427
MED31	73	2472
Dlip2	32	1405
rpk	216	4232
Karybeta3	2147	22354
spartin	75	465
smash	258	8224
CG33927	0	1
eIF3f1	381	10704
Nep2	181	229
tacc	1292	12089
atms	236	4114
CG44098	2	8
CG44088	0	0
CG14655	0	103
CG17387	0	2
ctrip	1236	38139
Hus1-like	48	382
CG1129	129	1581
BBS5	0	1
CG14657	17	2636
CG14658	0	0
CG14659	0	0
opa	0	21
laf	0	0
Gnf1	661	14064
Cdep	63	565
Ubc6	174	4590
CG14661	0	9
CG2016	0	0
CG1124	8	31
CG14662	0	0
plh	1	2
corto	171	11425
CG43131	0	0
RabGGTa	84	924
CG12589	0	0
dpr16	0	1
CG12590	0	0
cno	358	12772
Prosbeta2R2	1	4
CG1116	69	1773
Sccpdh1	140	4376
CG14664	0	1
Vps37B	95	1049
Kat60	243	4831
Mms19	231	2680
rtp	0	0
CtsF	972	9519
CG33293	0	12
CG1113	3	27
CG12173	163	1600
Hph	62	7610
Tim17a2	0	3
mtd	2021	18757
CG31538	5	17
Tim17b1	0	5
CG11999	117	1730
CG1161	407	2170
Prosbeta7	938	10265
Cerk	80	5072
CG34277	0	0
CG31542	0	0
Polr2F	360	1600
hd	274	3643
CG14667	67	1201
7B2	0	0
kkv	2	13
CG14668	0	0
CG1172	32	4174
Or83a	1	0
CG2663	2	0
Orco	0	0
CG14669	0	2
CG12147	0	0
PEK	96	6049
RpL35A	1972	20566
POLDIP2	31	1662
mRpL44	206	1457
Snr1	149	4923
CG45100	11	0
HDAC3	53	0
Hcs	71	2597
ksr	25	2443
CG31550	99	2814
NKCC	6	75
Nmdar1	1	5
Itpr	199	4660
CG43845	0	3
CG2519	131	8718
mia	12	44
Pcmt	18	1500
Snm1	132	4023
Pi4KIIalpha	157	4675
CG14671	105	525
CG12746	51	1805
CG2931	223	1786
Rheb	386	3877
CRMP	16	146
CG2926	302	13269
PolZ2	8	388
noi	151	3178
Vha26	742	23589
kra	2397	61883
SecS	130	1675
asl	139	4152
Rga	318	5751
Atu	178	0
Spec2	15	3055
Dph4	6	302
RpL13A	2243	40135
CG31551	0	8
CG31549	307	3165
CG12171	460	1860
CG31546	0	1
CG31548	97	1566
CG12170	78	738
MTA1-like	194	12412
Sec23	939	6942
elm	304	4141
MED27	48	1067
CG2182	1074	8085
Wdr33	95	4594
Xe7	68	2961
Atg17	191	8672
Rab23	85	4203
plx	171	1634
CG2104	0	0
cas	7	77
CG1239	71	2578
CG2100	104	2228
CG1236	217	3219
Sym	255	5023
Madm	49	2487
CG2091	431	2302
Sec8	90	4985
CG2082	6	13
jagn	41	3807
kat-60L1	1	0
Hat1	594	5989
Rpn5	1230	14639
CG1218	381	2574
PSMG1	283	3030
CG10979	66	6038
CG11000	2	8
CG42675	0	3
Hpr1	222	2120
CG46303	1	1
Sec20	45	1211
dgrn	266	3249
glob3	0	0
CG1208	5	5
CG1213	8	7
CG14676	0	0
disp	22	4569
CG34287	3	0
ECSIT	101	847
CG2017	46	393
side-III	2	2
CG11373	0	0
Obp83a	1	0
Obp83b	0	1
Rm62	1311	44255
CG10280	1	0
CG11459	0	1
CG15580	1	0
Or83c	0	0
Gasp	19	22
Obp83cd	1	2
Obp83ef	0	0
Obp83g	0	0
Vha14-2	1	0
CG31559	3	5
CG1077	117	112
Osi1	0	0
NPFR	0	0
Osi24	1	4
Osi2	4	5
Osi3	0	0
Osi4	0	0
Osi5	0	0
Osi6	0	0
Osi7	0	0
Osi8	1	0
Osi9	0	0
Osi10a	2	0
Osi10b	1	0
Osi11	0	0
Osi12	0	0
CG15597	0	0
CG15594	0	0
Osi13	0	0
Osi14	0	0
Osi15	0	0
CG46396	0	0
Osi16	0	0
CG46026	0	0
CG31560	0	0
Osi17	7	0
Osi18	0	0
Osi19	0	1
Osi20	0	0
CG17917	0	3
CG10298	1	3
CG17919	24	40
SmD2	385	4140
CG18048	50	1407
Hr83	0	0
Pak	141	6570
CG42724	328	4437
CG10286	189	1941
CRAT	159	1287
CG42564	0	11
CG1024	57	1318
CG42537	0	1
TfIIFalpha	328	7258
gzl	119	5522
Dmtn	118	2989
gpp	74	14443
CG9727	26	3175
Zif	111	1753
Neurochondrin	31	59
CG15186	0	18
CG15185	1	0
dpr11	0	0
Pif2	0	0
CG1137	0	0
CG2336	0	0
CG1138	1	0
CG31482	0	0
glob2	0	0
sowi	0	0
CG15177	0	0
sunz	2	0
CG31286	0	0
Ass	0	2
Taf1	630	7917
CG1307	97	4765
twr	160	1323
agt	82	633
lab	0	0
Edg84A	0	0
Ccp84Ag	4	1
Ccp84Af	0	0
Ccp84Ae	0	1
Ccp84Ad	0	0
Ccp84Ac	0	0
Ccp84Ab	0	0
Ccp84Aa	0	0
pb	0	1
zen2	0	0
CG34297	0	0
zen	1	59
bcd	7	4598
Ama	0	0
Dfd	3	0
Scr	0	0
ftz	0	0
Antp	5	1
CG46458	0	0
Sodh-1	4	4
CG1979	1	0
dj	0	0
djl	0	0
Mst84B	0	1
CG1105	85	1122
CG1965	142	2586
Ufl1	127	768
CG1943	690	26402
Ref1	702	16878
Dpck	180	1212
Tailor	223	5624
alphaTub84B	5649	65336
e(y)2b	0	4
Alh	98	5868
Mlp84B	18	110
CG10098	90	1793
CG10068	42	1669
CG31248	2	5
CG31493	0	0
Fer1	0	0
CG14610	0	0
CG2656	133	677
gfzf	210	4553
Sas-4	141	3754
MAGE	151	1786
sas	1	21
CG10055	237	5449
lap	256	7985
CG14609	0	1
CG1288	1	0
CG14606	0	0
CG14605	0	0
thw	1	0
CG14607	0	0
CG1234	289	3058
CG10053	21	397
CG1227	79	2012
Dtwd2	48	750
Obp84a	2	10
Gld	0	22
Syt4	0	496
rn	1	3
RacGAP84C	0	1
CG42544	0	0
CG10029	0	0
CG44335	0	0
