Geneid	Trspfl_RNA_1	control_RPF_1	Trspfl_RPF_2	control_RPF_2	Trspfl_RNA_2	Trspfl_RPF_1	control_RNA_1	control_RNA_2
Zc3h14	611	97	166	101	604	145	376	493
Troap	4	2	2	0	2	1	9	1
Clca2	0	0	0	0	0	1	0	0
1810013L24Rik	758	127	274	147	592	182	402	660
Srsf7	623	91	134	57	699	65	385	490
Fignl2	101	4	4	2	107	4	82	83
Sema6a	73	12	56	26	85	36	57	75
Anapc15	102	7	13	5	105	11	54	69
Misp3	0	0	0	0	3	0	1	3
Nmb	8	0	1	0	8	1	5	8
Tcerg1	173	33	102	74	197	90	92	119
Zfp712	13	2	5	0	18	1	12	12
Fam129c	4	2	1	0	13	0	3	2
Atp5g3	5277	2140	3957	2783	5084	3473	3575	3962
Pifo	0	0	0	0	0	0	0	0
Olfr1045	0	0	0	0	0	0	0	0
Olfr1049	0	0	0	0	0	0	0	0
Vsx1	0	0	0	0	0	0	0	0
Fyco1	555	231	411	180	609	271	371	396
Tlr3	108	16	23	16	124	14	69	63
Olfr1444	1	0	0	0	0	0	0	0
Olfr150	0	0	0	0	0	0	0	0
Ifi44	113	25	85	33	101	66	25	48
Trafd1	835	168	397	113	854	206	359	419
Erfl	1	0	0	0	1	0	1	2
Krt80	10	0	0	0	5	1	9	7
Armc8	271	53	99	54	258	58	126	174
Ppil4	216	40	76	51	193	67	132	173
Katnbl1	84	9	26	15	88	15	50	61
Gm21693	0	0	0	0	0	0	0	0
Spag9	1489	281	502	315	1335	405	713	1090
Taz	611	46	75	30	654	43	439	447
Gfpt1	662	330	512	290	526	410	368	414
Abcc5	567	9	163	10	451	137	33	52
Kcnmb4	0	0	0	0	0	0	0	0
Hpcal1	131	13	36	15	154	30	64	112
Tbc1d31	119	39	63	41	157	52	80	112
Tmem176b	4557	1391	3726	1257	5316	2465	1340	2038
Cyp3a13	3652	1277	2773	1187	4122	1883	1894	2401
Akap7	87	10	23	13	82	16	41	49
Ablim1	414	37	94	32	422	63	238	253
Lcn5	0	0	0	0	0	0	0	0
Ulk1	1238	211	257	187	1069	186	840	1195
Cyp4b1	228	158	218	131	256	137	142	170
