#N/A	Geneid	Fmr1_RPF_4	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RPF_5	Fmr1_RPF_6	Fmr1_RNA_3	Fmr1_RNA_4	Fmr1_RPF_2	control_RNA_2	Fmr1_RNA_6	control_RPF_4	control_RNA_3	Fmr1_RPF_7	Fmr1_RNA_5	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1			#SUBMITTED ID	SYMBOL
Myo81F	FBgn0267431	1	0	6	2	1	0	3	4	6	0	0	1	0	3	0	5	11	4	1	0			geneIDs - unknown ID - use ID Validator	
Pzl	FBgn0267430	0	1	7	1	1	1	0	1	7	0	4	1	0	0	0	5	1	2	0	0			FBgn0037890	CG17734
spok	FBgn0086917	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	3	2	1	0	0			FBgn0015269	Nf1
Parp	FBgn0010247	3	890	6711	1250	816	1315	610	6241	6839	743	7296	6119	689	8579	563	7212	7075	7365	916	2			FBgn0039637	Ctl2
Alg-2	FBgn0086378	2	484	2955	587	345	522	209	2926	3149	280	2991	2796	263	3465	233	3496	3150	3326	460	0			FBgn0032311	CG12517
Tim17b	FBgn0263977	0	762	7723	991	580	953	417	7507	7994	654	7265	6945	383	8508	491	8668	7837	7843	836	1			FBgn0032479	CG16974
CG41128	FBgn0069923	0	239	1637	373	182	345	117	1549	1792	235	1886	1818	142	2198	140	2374	1654	2235	292	0			FBgn0015279	Pi3K92E
CG41099	FBgn0039955	2	559	16710	637	486	606	240	15617	19417	305	17989	16282	339	21419	303	19177	17132	18554	417	1			FBgn0040752	Prosap
CG42402	FBgn0259821	0	1	8	0	1	2	0	2	17	1	2	15	0	9	0	10	5	12	0	0			FBgn0260794	ctrip
Gfat1	FBgn0287209	2	12	83	19	30	22	15	31	31	8	16	36	7	16	10	32	46	17	14	0			FBgn0037686	RpL34b
CG40198	FBgn0058198	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0			FBgn0086346	ALiX
CG12581	FBgn0037213	1	64	1397	48	53	39	20	1015	870	44	578	1079	29	501	16	843	1254	451	31	0			FBgn0033766	Nup188
Dsk	FBgn0000500	0	0	1	0	0	0	0	1	2	0	2	0	0	0	0	2	0	1	0	0			FBgn0015477	Rme-8
beta-Man	FBgn0037215	1	287	4838	332	307	276	113	4460	5463	239	4654	4628	189	5301	150	4828	4868	5035	273	1			FBgn0013813	Dhc98D
CG14636	FBgn0037217	0	0	10	4	1	2	0	3	9	0	5	5	0	6	2	10	5	2	3	0			FBgn0033194	Vps13
aux	FBgn0037218	0	284	6712	192	172	176	59	5930	7527	127	6471	5974	102	7573	87	6240	6592	6659	98	0			FBgn0004893	bowl
CG31516	FBgn0051516	0	0	5	1	0	0	0	3	7	0	1	0	0	3	0	5	1	3	0	0			FBgn0035420	hob
DhpD	FBgn0261436	0	156	2280	220	211	152	54	2276	2755	114	2414	2102	75	2682	107	2514	2405	2617	96	1			FBgn0034964	IntS1
CG14641	FBgn0037220	7	425	4250	484	389	402	168	4017	5002	258	5027	4263	284	5713	246	4787	4211	5335	334	4			FBgn0030674	HUWE1
abs	FBgn0015331	0	65	1151	107	83	88	34	1113	1573	60	1381	1288	37	1507	54	1438	1215	1496	90	0			FBgn0016081	fry
Gel	FBgn0010225	0	207	1667	212	171	151	66	1321	1339	139	955	1455	85	914	104	1358	1591	843	162	0			FBgn0015618	Cdk8
CG14642	FBgn0037222	0	0	2	0	3	0	1	2	1	0	1	1	1	0	0	2	2	1	0	0			FBgn0266111	ana3
CG34305	FBgn0085334	0	1	1	2	13	0	0	2	0	2	1	1	0	1	0	0	0	0	1	0			FBgn0037934	CG6830
TwdlF	FBgn0037224	0	0	1	0	0	0	1	2	1	0	1	0	0	2	0	2	0	0	0	0			FBgn0035227	Iml1
TwdlG	FBgn0037225	0	0	8	0	0	0	0	2	3	0	3	1	0	3	0	4	5	1	0	0			FBgn0034422	CG7137
CG14644	FBgn0250821	0	0	1	0	0	0	0	2	1	0	2	1	0	0	0	1	2	0	0	0			FBgn0027052	STUB1
TwdlV	FBgn0037227	0	4	2	0	1	0	0	4	2	0	0	0	0	0	0	0	2	1	0	0			FBgn0015600	toc
Or82a	FBgn0041621	0	0	6	0	0	0	0	1	3	0	1	0	0	1	0	5	8	3	0	0			FBgn0030354	Upf1
CG1092	FBgn0037228	0	13	11	4	2	1	2	9	8	1	1	16	2	6	2	10	17	6	2	0			FBgn0035162	Sf3b3
flip	FBgn0037229	0	0	3	0	0	0	0	4	1	0	0	1	0	2	0	1	4	1	0	0			FBgn0000320	eya
cpx	FBgn0041605	0	0	30	1	1	0	0	33	18	0	16	33	0	14	0	26	32	17	0	0			FBgn0040260	Ugt37D1
Nepl11	FBgn0037230	0	1	10	1	1	1	0	3	5	1	9	3	2	3	0	14	11	4	0	0			FBgn0085423	GramD1B
Vps24	FBgn0037231	0	132	122	166	120	127	64	114	117	78	132	124	62	147	80	113	126	140	118	0			FBgn0037936	CG6908
MP1	FBgn0027930	0	29	0	41	32	37	20	0	0	21	0	0	14	0	22	0	0	0	17	0			FBgn0002719	Men
Suv3	FBgn0037232	0	48	1077	118	80	89	37	875	1069	89	958	967	46	1109	44	964	1030	922	88	0			FBgn0037906	PGRP-LB
Syt14	FBgn0261086	0	0	4	1	1	1	0	8	7	0	11	6	0	11	0	3	4	7	0	0			FBgn0000044	Act57B
CG9795	FBgn0037234	0	64	3789	119	58	96	25	3510	4176	44	3841	3336	44	4685	38	4006	3627	4157	69	0			FBgn0022153	l(2)k05819
CG9776	FBgn0027866	5	444	5862	347	351	273	146	5311	6452	190	5692	5380	232	6685	150	5630	5747	5509	250	0			FBgn0035122	mRpL17
Skp2	FBgn0037236	0	359	4946	494	328	399	140	4612	6432	339	5949	5417	256	6977	198	5844	5008	6135	327	1			FBgn0033616	CG7745
CG14645	FBgn0040687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0039128	CG13599
CG1103	FBgn0037235	0	179	3856	191	127	159	64	3636	4306	157	4072	3409	79	4661	100	4063	4022	4329	179	0			FBgn0053080	CG33080
hkb	FBgn0261434	0	0	1	2	0	0	0	2	5	0	0	3	0	0	1	2	1	1	0	0			FBgn0260003	Dys
CG1090	FBgn0037238	0	0	11	0	0	2	0	6	3	0	6	7	0	5	0	9	9	1	0	0			FBgn0038519	Prx3
Sfxn1-3	FBgn0037239	0	31	2217	72	71	34	13	1929	2398	52	2475	2072	27	2705	37	2241	2140	2550	50	1			FBgn0260660	Mp
Cont	FBgn0037240	2	417	8334	522	454	493	236	7787	9315	410	7839	7149	313	9542	260	8491	8110	8312	368	8			FBgn0033926	Arc1
tub	FBgn0003882	0	2	4719	24	19	17	16	4690	5434	22	5012	4602	9	5890	11	5184	4986	5377	9	0			FBgn0287187	mRpS5
CG14646	FBgn0037241	0	41	760	83	56	68	40	654	852	54	919	744	43	965	32	701	812	849	44	0			FBgn0035725	Mis12
CG34112	FBgn0086608	0	15	21	6	4	4	3	9	14	2	8	31	4	6	5	13	4	8	1	0			FBgn0086350	tef
CG9855	FBgn0037242	1	105	492	128	97	86	45	449	497	46	530	533	45	656	45	538	477	607	89	0			FBgn0004908	Arl2
CG9853	FBgn0086605	3	157	2520	184	144	171	62	2573	3123	114	3181	2630	87	3606	76	3002	2927	3421	113	1			FBgn0030040	CG15347
CG14647	FBgn0037244	0	74	968	68	56	51	18	878	1028	56	1202	874	23	1394	38	1022	978	1229	51	0			FBgn0263593	Lpin
